section,scope,bet_type,bets,wins,losses,pushes,hit_rate,units_pl,roi_pct,brier,date,daily_units,cumulative_units
projection,OVERALL,all,5958,2950,2869,139,50.7,-187.45,-3.15,0.2501,,,
projection,BY TYPE,first_5,538,219,230,89,48.8,-30.93,-5.75,0.2533,,,
projection,BY TYPE,first_inning,542,297,245,0,54.8,24.97,4.61,0.2498,,,
projection,BY TYPE,moneyline,542,258,284,0,47.6,-49.48,-9.13,0.2521,,,
projection,BY TYPE,run_line,542,196,346,0,36.2,-167.84,-30.97,0.2287,,,
projection,BY TYPE,team_totals,2168,1165,1003,0,53.7,55.98,2.58,0.2542,,,
projection,BY TYPE,totals,1626,815,761,50,51.7,-20.17,-1.24,0.2502,,,
backfill,,,,,,,,,,,2026-05-01,-23.55,-187.45
backfill,,,,,,,,,,,2026-04-30,11.81,-163.9
backfill,,,,,,,,,,,2026-04-29,-15.82,-175.71
backfill,,,,,,,,,,,2026-04-28,-19.83,-159.89
backfill,,,,,,,,,,,2026-04-27,-3.0,-140.06
backfill,,,,,,,,,,,2026-04-26,-25.92,-137.06
backfill,,,,,,,,,,,2026-04-25,-24.92,-111.14
backfill,,,,,,,,,,,2026-04-24,13.27,-86.23
backfill,,,,,,,,,,,2026-04-23,2.36,-99.49
backfill,,,,,,,,,,,2026-04-22,17.45,-101.85
backfill,,,,,,,,,,,2026-04-21,-7.37,-119.3
backfill,,,,,,,,,,,2026-04-20,10.36,-111.93
backfill,,,,,,,,,,,2026-04-19,-0.73,-122.28
backfill,,,,,,,,,,,2026-04-18,-3.55,-121.55
backfill,,,,,,,,,,,2026-04-17,16.54,-118.0
backfill,,,,,,,,,,,2026-04-16,-8.64,-134.53
backfill,,,,,,,,,,,2026-04-15,-13.01,-125.89
backfill,,,,,,,,,,,2026-04-14,8.9,-112.88
backfill,,,,,,,,,,,2026-04-13,1.72,-121.79
backfill,,,,,,,,,,,2026-04-12,-2.64,-123.51
backfill,,,,,,,,,,,2026-04-11,-31.19,-120.86
backfill,,,,,,,,,,,2026-04-10,11.72,-89.68
backfill,,,,,,,,,,,2026-04-09,-5.73,-101.39
backfill,,,,,,,,,,,2026-04-08,-18.73,-95.66
backfill,,,,,,,,,,,2026-04-07,12.72,-76.93
backfill,,,,,,,,,,,2026-04-06,1.27,-89.65
backfill,,,,,,,,,,,2026-04-05,-8.83,-90.92
backfill,,,,,,,,,,,2026-04-04,-28.82,-82.09
backfill,,,,,,,,,,,2026-04-03,-20.01,-53.27
backfill,,,,,,,,,,,2026-04-02,11.91,-33.26
backfill,,,,,,,,,,,2026-04-01,-15.01,-45.17
backfill,,,,,,,,,,,2026-03-31,-22.19,-30.16
backfill,,,,,,,,,,,2026-03-30,-19.83,-7.97
backfill,,,,,,,,,,,2026-03-29,-4.92,11.85
backfill,,,,,,,,,,,2026-03-28,39.44,16.77
backfill,,,,,,,,,,,2026-03-27,6.63,-22.68
backfill,,,,,,,,,,,2026-03-26,-20.55,-29.31
backfill,,,,,,,,,,,2026-03-25,-3.36,-8.76
backfill,,,,,,,,,,,2026-03-24,0.81,-5.39
backfill,,,,,,,,,,,2026-03-23,-2.1,-6.21
backfill,,,,,,,,,,,2026-03-22,-17.37,-4.11
backfill,,,,,,,,,,,2026-03-21,4.17,13.26
backfill,,,,,,,,,,,2026-03-20,9.09,9.09
